period,plan_dtime,req_pow_res,business_date,plan_dtime_utc,publication_ts,fcst_pv_tot_gen,fcst_wi_tot_gen,fcst_unav_energy,grid_demand_fcst,planned_exchange,publication_ts_utc,sum_unav_oper_cond,pred_gen_res_not_cov,cap_market_obligation,surplus_cap_avail_tso,fcst_gen_unit_stor_prov,fcst_gen_unit_stor_non_prov,gen_surplus_avail_tso_above,avail_cap_gen_units_stor_prov,planned_restr_mwe_avail_shutdown,avail_cap_gen_units_stor_prov_tso
23 - 24,2025-08-13 00:00:00,1456.0,2025-08-12,2025-08-12 22:00:00,2025-08-12 20:12:30.837,0.0,966.0,0.0,15611.0,2215.0,2024-10-01 03:51:19.304000,0.0,13396.0,0.0,5254.0,10571.0,2825.0,3798.0,19612.0,8223.0,15825.0
00 - 01,2025-08-13 01:00:00,1362.0,2025-08-13,2025-08-12 23:00:00,2025-08-12 20:03:15.756,0.0,1348.0,0.0,14720.0,2271.0,2024-10-01 03:51:19.304000,0.0,12468.0,0.0,7004.0,9465.0,2984.0,5642.0,19761.0,7880.0,16469.0
01 - 02,2025-08-13 02:00:00,1302.0,2025-08-13,2025-08-13 00:00:00,2025-08-12 20:12:30.837,0.0,1517.0,0.0,14107.0,2126.0,2024-10-01 03:51:19.304000,0.0,11915.0,0.0,8729.0,8861.0,3120.0,7427.0,19741.0,7883.0,17590.0
02 - 03,2025-08-13 03:00:00,1271.0,2025-08-13,2025-08-13 01:00:00,2025-08-12 20:03:15.756,0.0,1630.0,0.0,13776.0,2123.0,2024-10-01 03:51:19.304000,0.0,11654.0,0.0,9947.0,8421.0,3232.0,8676.0,19746.0,7878.0,18367.0
03 - 04,2025-08-13 04:00:00,1271.0,2025-08-13,2025-08-13 02:00:00,2025-08-12 20:03:15.756,0.0,1681.0,0.0,13751.0,2209.0,2024-10-01 03:51:19.304000,0.0,11576.0,0.0,10576.0,8259.0,3283.0,9305.0,19746.0,7878.0,18835.0
04 - 05,2025-08-13 05:00:00,1276.0,2025-08-13,2025-08-13 03:00:00,2025-08-12 20:03:15.756,0.0,1694.0,0.0,13845.0,2240.0,2024-10-01 03:51:19.304000,0.0,11626.0,0.0,10729.0,8309.0,3295.0,9453.0,19757.0,7867.0,19039.0
05 - 06,2025-08-13 06:00:00,1314.0,2025-08-13,2025-08-13 04:00:00,2025-08-12 20:22:55.656,55.0,1708.0,0.0,14320.0,1612.0,2024-10-01 03:51:19.304000,0.0,12603.0,0.0,9781.0,9371.0,3337.0,8467.0,19758.0,7866.0,19152.0
06 - 07,2025-08-13 07:00:00,1486.0,2025-08-13,2025-08-13 05:00:00,2025-08-12 20:22:55.656,814.0,1656.0,0.0,15970.0,1492.0,2024-10-01 03:51:19.304000,0.0,14543.0,0.0,8478.0,10771.0,3706.0,6992.0,19750.0,7874.0,19249.0
07 - 08,2025-08-13 08:00:00,1624.0,2025-08-13,2025-08-13 06:00:00,2025-08-12 20:22:55.656,3113.0,1432.0,372.0,16303.0,685.0,2024-10-16 11:22:43.468000,0.0,3442.0,26285.0,8119.0,11088.0,4530.0,6495.0,19735.0,7889.0,19207.0
08 - 09,2025-08-13 09:00:00,1657.0,2025-08-13,2025-08-13 07:00:00,2025-08-12 20:22:55.656,6391.0,840.0,520.0,14854.0,-296.0,2024-10-16 11:22:43.468000,0.0,4081.0,26285.0,9117.0,9854.0,5295.0,7460.0,19710.0,7918.0,18972.0
