period,plan_dtime,req_pow_res,business_date,plan_dtime_utc,publication_ts,fcst_pv_tot_gen,fcst_wi_tot_gen,fcst_unav_energy,grid_demand_fcst,planned_exchange,publication_ts_utc,sum_unav_oper_cond,pred_gen_res_not_cov,cap_market_obligation,surplus_cap_avail_tso,fcst_gen_unit_stor_prov,fcst_gen_unit_stor_non_prov,gen_surplus_avail_tso_above,avail_cap_gen_units_stor_prov,planned_restr_mwe_avail_shutdown,avail_cap_gen_units_stor_prov_tso
23 - 24,2025-07-30 00:00:00,1491.0,2025-07-29,2025-07-29 22:00:00,2025-07-29 16:12:35.890,0.0,1671.0,408.0,15988.0,2313.0,2024-10-01 03:51:19.304000,0.0,13591.0,0.0,8385.0,10164.0,3511.0,6894.0,19912.0,8120.0,18549.0
00 - 01,2025-07-30 01:00:00,1352.0,2025-07-30,2025-07-29 23:00:00,2025-07-29 16:22:50.571,0.0,1755.0,51.0,14473.0,2175.0,2024-10-01 03:51:19.304000,0.0,12257.0,0.0,10651.0,8749.0,3549.0,9299.0,19607.0,8239.0,19400.0
01 - 02,2025-07-30 02:00:00,1292.0,2025-07-30,2025-07-30 00:00:00,2025-07-29 16:22:50.571,0.0,1827.0,0.0,13802.0,1807.0,2024-10-01 03:51:19.304000,0.0,11919.0,0.0,11140.0,8379.0,3616.0,9848.0,19520.0,8308.0,19520.0
02 - 03,2025-07-30 03:00:00,1262.0,2025-07-30,2025-07-30 01:00:00,2025-07-29 16:22:50.571,0.0,1803.0,0.0,13414.0,1861.0,2024-10-01 03:51:19.304000,0.0,11549.0,0.0,11531.0,7989.0,3563.0,10269.0,19520.0,8308.0,19520.0
03 - 04,2025-07-30 04:00:00,1256.0,2025-07-30,2025-07-30 02:00:00,2025-07-29 16:22:50.571,0.0,1745.0,0.0,13339.0,1925.0,2024-10-01 03:51:19.304000,0.0,11421.0,0.0,11604.0,7916.0,3498.0,10348.0,19520.0,8308.0,19520.0
04 - 05,2025-07-30 05:00:00,1256.0,2025-07-30,2025-07-30 03:00:00,2025-07-29 16:22:50.571,0.0,1645.0,0.0,13338.0,2073.0,2024-10-01 03:51:19.304000,0.0,11284.0,0.0,11653.0,7867.0,3398.0,10397.0,19520.0,8308.0,19520.0
05 - 06,2025-07-30 06:00:00,1290.0,2025-07-30,2025-07-30 04:00:00,2025-07-29 16:22:50.571,249.0,1520.0,0.0,13486.0,1742.0,2024-10-01 03:51:19.304000,0.0,11656.0,0.0,11165.0,8356.0,3388.0,9875.0,19521.0,8308.0,19521.0
06 - 07,2025-07-30 07:00:00,1494.0,2025-07-30,2025-07-30 05:00:00,2025-07-29 16:22:50.571,1465.0,1297.0,1.0,14879.0,2111.0,2024-10-01 03:51:19.304000,0.0,12779.0,0.0,10550.0,8984.0,3784.0,9056.0,19534.0,8305.0,19534.0
07 - 08,2025-07-30 08:00:00,1658.0,2025-07-30,2025-07-30 06:00:00,2025-07-29 16:22:50.571,3759.0,871.0,723.0,15389.0,1443.0,2024-10-16 11:22:43.468000,0.0,3301.0,26244.0,9907.0,9627.0,4318.0,8249.0,19535.0,8305.0,19535.0
08 - 09,2025-07-30 09:00:00,1725.0,2025-07-30,2025-07-30 07:00:00,2025-07-29 16:22:50.571,6545.0,612.0,870.0,14324.0,287.0,2024-10-16 11:22:43.468000,0.0,4065.0,26244.0,10722.0,8790.0,5246.0,8997.0,19513.0,8330.0,19513.0
