period,plan_dtime,req_pow_res,business_date,plan_dtime_utc,publication_ts,fcst_pv_tot_gen,fcst_wi_tot_gen,fcst_unav_energy,grid_demand_fcst,planned_exchange,publication_ts_utc,sum_unav_oper_cond,pred_gen_res_not_cov,cap_market_obligation,surplus_cap_avail_tso,fcst_gen_unit_stor_prov,fcst_gen_unit_stor_non_prov,gen_surplus_avail_tso_above,avail_cap_gen_units_stor_prov,planned_restr_mwe_avail_shutdown,avail_cap_gen_units_stor_prov_tso
23 - 24,2025-08-19 00:00:00,1455.0,2025-08-18,2025-08-18 22:00:00,2025-08-18 22:43:45.998,0.0,200.0,248.0,15292.0,2692.0,2024-10-01 03:51:19.304000,210.0,12565.0,0.0,3025.0,10493.0,2107.0,1570.0,20553.0,7521.0,13517.0
00 - 01,2025-08-19 01:00:00,1347.0,2025-08-19,2025-08-18 23:00:00,2025-08-18 22:43:45.998,0.0,216.0,33.0,14148.0,2504.0,2024-10-01 03:51:19.304000,0.0,11644.0,0.0,4173.0,9705.0,1940.0,2826.0,20074.0,7671.0,13877.0
01 - 02,2025-08-19 02:00:00,1276.0,2025-08-19,2025-08-19 00:00:00,2025-08-18 22:43:45.998,0.0,262.0,0.0,13462.0,2602.0,2024-10-01 03:51:19.304000,0.0,10832.0,0.0,5855.0,8930.0,1931.0,4579.0,19889.0,7805.0,14784.0
02 - 03,2025-08-19 03:00:00,1244.0,2025-08-19,2025-08-19 01:00:00,2025-08-18 22:43:45.998,0.0,341.0,0.0,13113.0,2676.0,2024-10-01 03:51:19.304000,0.0,10480.0,0.0,7631.0,8450.0,1987.0,6387.0,19900.0,7794.0,16081.0
03 - 04,2025-08-19 04:00:00,1239.0,2025-08-19,2025-08-19 02:00:00,2025-08-18 22:43:45.998,0.0,437.0,0.0,13057.0,2518.0,2024-10-01 03:51:19.304000,0.0,10539.0,0.0,9309.0,8467.0,2072.0,8070.0,19908.0,7786.0,17776.0
04 - 05,2025-08-19 05:00:00,1246.0,2025-08-19,2025-08-19 03:00:00,2025-08-18 22:43:45.998,0.0,503.0,0.0,13132.0,2268.0,2024-10-01 03:51:19.304000,0.0,10827.0,0.0,10192.0,8703.0,2162.0,8946.0,19913.0,7781.0,18894.0
05 - 06,2025-08-19 06:00:00,1289.0,2025-08-19,2025-08-19 04:00:00,2025-08-18 22:43:45.998,26.0,544.0,0.0,13591.0,1335.0,2024-10-01 03:51:19.304000,0.0,12168.0,0.0,9393.0,10035.0,2221.0,8104.0,19937.0,7777.0,19427.0
06 - 07,2025-08-19 07:00:00,1476.0,2025-08-19,2025-08-19 05:00:00,2025-08-18 22:43:45.998,655.0,540.0,0.0,15311.0,2058.0,2024-10-01 03:51:19.304000,0.0,13266.0,0.0,9128.0,10659.0,2594.0,7652.0,20082.0,7781.0,19787.0
07 - 08,2025-08-19 08:00:00,1622.0,2025-08-19,2025-08-19 06:00:00,2025-08-18 22:43:45.998,2770.0,468.0,137.0,15749.0,1165.0,2024-10-16 11:22:43.468000,0.0,2100.0,26322.0,8775.0,11108.0,3476.0,7153.0,20073.0,7825.0,19883.0
08 - 09,2025-08-19 09:00:00,1657.0,2025-08-19,2025-08-19 07:00:00,2025-08-18 22:43:45.998,5935.0,264.0,157.0,14418.0,-108.0,2024-10-16 11:22:43.468000,0.0,3090.0,26322.0,9747.0,9949.0,4576.0,8090.0,19899.0,7861.0,19696.0
09 - 10,2025-08-19 10:00:00,1645.0,2025-08-19,2025-08-19 08:00:00,2025-08-18 22:43:45.998,8650.0,166.0,281.0,12812.0,-878.0,2024-10-16 11:22:43.468000,0.0,4177.0,26322.0,11477.0,8082.0,5608.0,9832.0,19850.0,7890.0,19560.0
10 - 11,2025-08-19 11:00:00,1602.0,2025-08-19,2025-08-19 09:00:00,2025-08-18 22:33:55.983,10376.0,219.0,706.0,11789.0,-1246.0,2024-10-16 11:22:43.468000,0.0,4972.0,26322.0,12413.0,6735.0,6301.0,10811.0,19827.0,7913.0,19148.0
11 - 12,2025-08-19 12:00:00,1613.0,2025-08-19,2025-08-19 10:00:00,2025-08-18 22:33:55.983,11009.0,291.0,751.0,11982.0,-685.0,2024-10-16 11:22:43.468000,0.0,5284.0,26322.0,12932.0,6101.0,6567.0,11319.0,19804.0,7936.0,19032.0
12 - 13,2025-08-19 13:00:00,1618.0,2025-08-19,2025-08-19 11:00:00,2025-08-18 22:33:55.983,10963.0,355.0,764.0,12065.0,-356.0,2024-10-16 11:22:43.468000,0.0,5322.0,26322.0,12975.0,5814.0,6606.0,11357.0,19779.0,7961.0,18790.0
13 - 14,2025-08-19 14:00:00,1630.0,2025-08-19,2025-08-19 12:00:00,2025-08-18 22:33:55.983,10629.0,409.0,764.0,12531.0,23.0,2024-10-16 11:22:43.468000,0.0,5229.0,26322.0,12600.0,5994.0,6514.0,10970.0,19760.0,7980.0,18594.0
14 - 15,2025-08-19 15:00:00,1629.0,2025-08-19,2025-08-19 13:00:00,2025-08-18 22:33:55.983,10058.0,464.0,764.0,12663.0,25.0,2024-10-16 11:22:43.468000,0.0,5058.0,26322.0,12299.0,6290.0,6348.0,10670.0,19751.0,7957.0,18589.0
15 - 16,2025-08-19 16:00:00,1671.0,2025-08-19,2025-08-19 14:00:00,2025-08-18 22:33:55.983,9126.0,497.0,764.0,13258.0,25.0,2024-10-16 11:22:43.468000,0.0,4705.0,26322.0,11405.0,7209.0,6023.0,9734.0,19743.0,7859.0,18614.0
16 - 17,2025-08-19 17:00:00,1724.0,2025-08-19,2025-08-19 15:00:00,2025-08-18 22:33:55.983,7742.0,481.0,764.0,14217.0,164.0,2024-10-16 11:22:43.468000,0.0,4091.0,26322.0,10087.0,8589.0,5464.0,8363.0,19743.0,7845.0,18676.0
17 - 18,2025-08-19 18:00:00,1766.0,2025-08-19,2025-08-19 16:00:00,2025-08-18 22:43:45.998,5583.0,409.0,764.0,15833.0,1590.0,2024-10-16 11:22:43.468000,0.0,3113.0,26322.0,9143.0,9656.0,4588.0,7377.0,19751.0,7837.0,18799.0
18 - 19,2025-08-19 19:00:00,1808.0,2025-08-19,2025-08-19 17:00:00,2025-08-18 22:43:45.998,3050.0,366.0,107.0,17744.0,2459.0,2024-10-16 11:22:43.468000,0.0,2060.0,26322.0,7921.0,11571.0,3714.0,6113.0,19948.0,7818.0,19492.0
19 - 20,2025-08-19 20:00:00,1807.0,2025-08-19,2025-08-19 18:00:00,2025-08-18 22:43:45.998,888.0,449.0,0.0,18909.0,3345.0,2024-10-16 11:22:43.468000,0.0,1221.0,26322.0,7791.0,12525.0,3038.0,5984.0,20572.0,7794.0,20316.0
20 - 21,2025-08-19 21:00:00,1807.0,2025-08-19,2025-08-19 19:00:00,2025-08-18 22:43:45.998,60.0,683.0,0.0,19372.0,3585.0,2024-10-16 11:22:43.468000,0.0,1094.0,26322.0,7515.0,12846.0,2941.0,5708.0,20614.0,7752.0,20361.0
21 - 22,2025-08-19 22:00:00,1740.0,2025-08-19,2025-08-19 20:00:00,2025-08-18 22:43:45.998,0.0,939.0,0.0,18665.0,3360.0,2024-10-16 11:22:43.468000,0.0,1312.0,26322.0,8107.0,12213.0,3092.0,6367.0,20568.0,7736.0,20319.0
22 - 23,2025-08-19 23:00:00,1600.0,2025-08-19,2025-08-19 21:00:00,2025-08-18 22:43:45.998,0.0,1161.0,31.0,17033.0,2163.0,2024-10-01 03:51:19.304000,0.0,14550.0,0.0,8655.0,11685.0,3185.0,7055.0,20402.0,7716.0,20339.0
